Alone|Heart|E Standard|E Standard|E Standard
Straight On|Heart|E Standard|E Standard|E Standard
What About Love|Heart|E Standard|E Standard|E Standard
God Rest Ye Merry, Gentlemen|Brian Adam McCune|E Standard|E Standard|E Standard
Carol of the Bells|Seth Chapla|E Standard|E Standard|E Standard
We Three Kings|Versus Them|E Standard|E Standard|E Standard
Black Fire Upon Us|Dethklok|C Standard|C Standard|C Standard
Bloodlines|Dethklok|C Standard|C Standard|C Standard
Murmaider|Dethklok|C Standard|C Standard|C Standard
Nemesis|Arch Enemy|C Standard|C Standard|C Standard
Go Into The Water|Dethklok|C Standard|C Standard|C Standard
Awaken|Dethklok|C Standard|C Standard|C Standard
Thunderhorse|Dethklok|C Standard|C Standard|C Standard
3's & 7's|Queens of the Stone Age|C Standard|C Standard|C Standard
No One Knows|Queens of the Stone Age|C Standard|C Standard|C Standard
Vitamin R (Leading Us Along)|Chevelle|C# Drop B|C# Drop B|Drop D
Superbeast|Rob Zombie|C# Drop B|C# Drop B|E Standard
Say You'll Haunt Me|Stone Sour|C# Standard|C# Standard|C# Standard
Absolute Zero|Stone Sour|C# Standard|C# Standard|C# Standard
More Human Than Human|White Zombie|C# Standard|C# Standard|C# Standard
The Outsider|A Perfect Circle|C# Standard|C# Standard|C# Standard
Two Weeks|All That Remains|C# Standard|C# Standard|C# Standard
Selkies: The Endless Obsession|Between The Buried and Me|C# Standard|C# Standard|C# Standard
The Red|Chevelle|C# Standard|C# Standard|C# Standard
One of Us|Joan Osborne|Capo Required (E Standard)|Capo Required (E Standard)|E Standard
Behind These Hazel Eyes|Kelly Clarkson|Capo Required (E Standard)|E Standard|E Standard
On The Sunny Side Of The Street|Les Paul & Mary Ford|Capo Required (E Standard)|E Standard|E Standard
Man! I Feel Like a Woman!|Shania Twain|Capo Required (E Standard)|Capo Required (E Standard)|Eb Standard
That Don't Impress Me Much|Shania Twain|Capo Required (E Standard)|Capo Required (E Standard)|E Standard
Dakota|Stereophonics|Capo Required (E Standard)|Capo Required (E Standard)|E Standard
Red Eyes|The War on Drugs|Capo Required (E Standard)|Capo Required (E Standard)|E Standard
Guardians of Asgaard|Amon Amarth|Custom Tuning (AEADF#B)|Custom Tuning (AEADF#B)|E Standard
The Pursuit of VIkings|Amon Amarth|Custom Tuning (B Standard)|Custom Tuning (B Standard)|E Standard
Death In Fire|Amon Amarth|Custom Tuning (B Standard)|Custom Tuning (B Standard)|E Standard
War Of The Gods|Amon Amarth|Custom Tuning (B Standard)|Custom Tuning (B Standard)|E Standard
Twilight Of The Thunder God|Amon Amarth|Custom Tuning (B Standard)|Custom Tuning (B Standard)|E Standard
Bad Company|Five Finger Death Punch|Custom Tuning (B Standard)|Custom Tuning (B Standard)|E Standard
Wrong Side of Heaven|Five Finger Death Punch|Custom Tuning (B Standard)|Custom Tuning (B Standard)|E Standard
The Ballad Of Clutch Nixon|The Road Vikings|Custom Tuning (B Standard)|Custom Tuning (B Standard)|E Standard
Christian Woman|Type O Negative|Custom Tuning (B Standard)|Custom Tuning (B Standard)|E Standard
Pretty Noose|Soundgarden|Custom Tuning (CGCGGE)|Custom Tuning (CGCGGE)|Custom Tuning (CGCG)
My Sacrifice|Creed|Custom Tuning (DADADd)|Custom Tuning (DADADd)|Drop D
Optimistic|Radiohead|Custom Tuning (DADFCd)|Drop D|Drop D
Coma White|Marilyn Manson|Custom Tuning (EADGAe)|Custom Tuning (EADGAe)|E Standard
Little Lion Man|Mumford & Sons|Custom Tuning (EADGBD Capo Required)|Custom Tuning (CACGCE Capo Required)|E Standard
So Far Away|Staind|Custom Tuning (Eb,Ab,Db,Eb,Ab,Eb)|Eb Standard|Eb Standard
My Iron Lung|Radiohead|Custom Tuning (EGDGBD)|Custom Tuning (EGDGBD)|E Standard
Superhero|Jane's Addiction|Custom Tuning (F Standard)|Custom Tuning (F Standard)|Custom Tuning (F Standard)
Year Zero|Ghost B.C.|D Standard|D Standard|D Standard
Cirice|Ghost|D Standard|D Standard|D Standard
He Is|Ghost|D Standard|D Standard|D Standard
Ritual|Ghost|D Standard|D Standard|D Standard
Hold Back the River|James Bay|D Standard|D Standard|D Standard
The Joker|Steve Miller Band|D Standard|D Standard|E Standard
Bad Girlfriend|Theory Of A Deadman|D Standard|D Standard|D Standard
If It Means a Lot to You|A Day To Remember|D Standard|D Standard|Drop C
This Calling|All That Remains|D Standard|D Standard|D Standard
Six|All That Remains|D Standard|D Standard|D Standard
Ties That Bind|Alter Bridge|D Standard|D Standard|D Standard
Infected|Bad Religion|D Standard|D Standard|D Standard
Snarling of Beasts|Bedowyn|D Standard|D Standard|D Standard
Overlord|Black Label Society|D Standard|D Standard|D Standard
Adam's Song|blink-182|D Standard|D Standard|E Standard
Scream Aim Fire|Bullet For My Valentine|D Standard|D Standard|D Standard
Fortunate Son|Creedence Clearwater Revival|D Standard|E Standard|E Standard
Bad Moon Rising|Creedence Clearwater Revival|D Standard|E Standard|E Standard
Proud Mary|Creedence Clearwater Revival|D Standard|E Standard|E Standard
Again|Flyleaf|D Standard|Drop C|Drop D
Let It Go|James Bay|D Standard|D Standard|C# Standard
Blood and Thunder|Mastodon|D Standard|D Standard|D Standard
Black Tongue|Mastodon|D Standard|D Standard|D Standard
Colony of Birchmen|Mastodon|D Standard|D Standard|D Standard
Sweet Mountain River|Monster Truck|D Standard|D Standard|D Standard
Kickstart My Heart|M'tley Cr'e|D Standard|D Standard|D Standard
Shout at the Devil|M'tley Cr'e|D Standard|D Standard|D Standard
Girls, Girls, Girls|M'tley Cr'e|D Standard|D Standard|D Standard
Home Sweet Home|M'tley Cr'e|D Standard|D Standard|D Standard
Dr. Feelgood|M'tley Cr'e|D Standard|D Standard|D Standard
Nine in the Afternoon|Panic! At The Disco|D Standard|D Standard|D Standard
5 Minutes Alone|Pantera|D Standard|D Standard|D Standard
'berlin|R.E.M.|D Standard|D Standard|D Standard
Out of the Black|Royal Blood|D Standard|D Standard|D Standard
Refuse/Resist|Sepultura|D Standard|D Standard|D Standard
Elephant|Tame Impala|D Standard|D Standard|D Standard
Sweater Weather|The Neighbourhood|D Standard|D Standard|D Standard
A Warrior's Call|Volbeat|D Standard|D Standard|D Standard
Lola Montez|Volbeat|D Standard|D Standard|D Standard
Heaven Nor Hell|Volbeat|D Standard|D Standard|D Standard
Still Counting|Volbeat|D Standard|D Standard|D Standard
Fallen|Volbeat|D Standard|D Standard|D Standard
Everybody's Fool|Evanescence|DADGAD|DADGAD|Drop D
Bodies|Drowning Pool|Drop C|Drop C|Drop C
Face Down|The Red Jumpsuit Apparatus|Drop C|Drop C|Drop C
All Signs Point to Lauderdale|A Day To Remember|Drop C|Drop C|Drop C
I'm Made Of Wax, Larry, What Are You Made Of?|A Day To Remember|Drop C|Drop C|Drop C
All I Want|A Day To Remember|Drop C|Drop C|Drop C
The Downfall of Us All|A Day To Remember|Drop C|Drop C|Drop C
Isolation|Alter Bridge|Drop C|Drop C|Drop C
Stingin' Belle|Biffy Clyro|Drop C|Drop C|Drop C
Suicide Messiah|Black Label Society|Drop C|Drop C|Drop C
Blow Me Away (ft. Valora)|Breaking Benjamin|Drop C|Drop C|Drop C
So Cold|Breaking Benjamin|Drop C|Drop C|Drop C
Your Betrayal|Bullet For My Valentine|Drop C|Drop C|Drop C
Hand Of Blood|Bullet For My Valentine|Drop C|Drop C|Drop C
Tears Don't Fall|Bullet For My Valentine|Drop C|Drop C|D Standard
Hearts Burst Into Fire|Bullet For My Valentine|Drop C|Drop C|Drop C
Hats Off to the Bull|Chevelle|Drop C|Drop C|Drop C
Change (In The House Of Flies)|Deftones|Drop C|Drop C|Drop C
Digital Bath|Deftones|Drop C|Drop C|Drop C
